Time,Group,Participant,Success,Invested,Photo,Emotion,false_alarm,Notes,Survey,I1,I2,I3
28/07/2023 13:48:12,170,0,0,0,0,N,,,0,,,
28/07/2023 13:48:23,171,0,0,0,0,N,,,0,,,
28/07/2023 13:48:29,172,0,0,0,0,N,,,0,,,
28/07/2023 13:49:28,173,0,0,0,0,N,,,0,,,
28/07/2023 13:49:45,174,0,0,0,0,N,,,0,,,
28/07/2023 13:50:34,175,0,0,0,0,N,,,0,,,
28/07/2023 13:54:38,176,0,0,0,0,N,,,0,,,
28/07/2023 13:56:27,177,0,0,0,0,N,,,0,,,
28/07/2023 13:57:05,178,0,0,0,0,N,,,0,,,
28/07/2023 13:57:05,178,0,0,0,0,N,,,0,,,
28/07/2023 14:00:10,179,0,0,0,0,N,,,0,,,
28/07/2023 14:02:09,180,0,0,0,0,N,,,0,,,
28/07/2023 14:02:50,181,0,0,0,0,N,,,0,,,
28/07/2023 14:03:22,182,0,0,0,0,N,,,0,,,
28/07/2023 14:04:43,183,0,0,0,0,N,,,0,,,
28/07/2023 14:05:40,184,0,0,0,0,N,,,0,,,
28/07/2023 14:06:10,185,0,0,0,0,N,,,0,,,
28/07/2023 14:07:18,186,0,0,0,0,N,,,0,,,
28/07/2023 14:07:49,187,0,0,0,0,N,,,0,,,
28/07/2023 14:08:09,188,0,0,0,0,N,,,0,,,
28/07/2023 14:09:50,189,0,0,0,0,N,,,0,,,
28/07/2023 14:10:19,190,0,0,0,0,N,,,0,,,
28/07/2023 14:11:01,191,0,0,0,0,N,,,0,,,
28/07/2023 14:13:48,192,0,0,0,0,N,,,0,,,
28/07/2023 14:13:48,192,0,0,0,0,N,,,0,,,
28/07/2023 14:20:22,193,0,0,0,0,N,,,0,,,
28/07/2023 14:21:01,194,0,0,0,0,N,,,0,,,
28/07/2023 14:21:15,195,0,0,0,0,N,,,0,,,
28/07/2023 14:22:22,196,0,0,0,0,N,,,0,,,
28/07/2023 14:23:09,197,0,0,0,0,N,,,0,,,
28/07/2023 14:23:13,198,0,0,0,0,N,,,0,,,
28/07/2023 14:24:52,199,0,0,0,0,N,,,0,,,
28/07/2023 14:25:20,200,0,0,0,1,N,,,0,,,
28/07/2023 14:26:06,201,0,0,0,0,N,,,0,,,
28/07/2023 14:27:16,202,0,0,0,0,N,,,0,,,
28/07/2023 14:29:10,203,0,0,0,0,N,,,0,,,
28/07/2023 14:31:21,204,0,0,0,0,N,,,0,,,
28/07/2023 14:32:04,205,0,0,0,0,N,,,0,,,
28/07/2023 14:32:41,206,0,0,0,0,N,,,0,,,
28/07/2023 14:33:35,207,0,0,0,0,N,,,0,,,
28/07/2023 14:34:01,208,0,0,0,0,N,,,0,,,
28/07/2023 14:34:01,208,0,0,0,0,N,,,0,,,
28/07/2023 14:34:01,208,0,0,0,0,N,,,0,,,
28/07/2023 14:35:06,209,0,0,0,0,N,,,0,,,
28/07/2023 14:36:20,210,0,0,0,0,N,,,0,,,
28/07/2023 14:36:20,210,0,0,0,0,N,,,0,,,
28/07/2023 14:36:20,210,0,0,0,0,N,,,0,,,
28/07/2023 14:38:32,211,0,0,0,0,N,,,0,,,
28/07/2023 14:40:32,212,0,0,0,0,N,,,0,,,
28/07/2023 14:40:57,213,0,0,0,0,N,,,0,,,
28/07/2023 14:42:17,214,0,0,0,0,N,,,0,,,
28/07/2023 14:46:23,215,0,0,0,0,N,,,0,,,
28/07/2023 14:46:23,215,0,0,0,0,N,,,0,,,
28/07/2023 14:46:53,216,0,0,0,0,N,,,0,,,
28/07/2023 14:46:53,216,0,0,0,0,N,,,0,,,
28/07/2023 14:47:24,217,0,0,0,0,N,,,0,,,
28/07/2023 14:47:50,218,0,0,0,0,N,,,0,,,
28/07/2023 14:49:17,219,0,0,0,0,N,,,0,,,
28/07/2023 14:49:36,220,0,0,0,0,N,,,0,,,
28/07/2023 14:50:19,221,0,0,0,0,N,,,0,,,
28/07/2023 14:50:23,222,0,0,0,0,N,,,0,,,
28/07/2023 14:51:28,223,0,0,0,0,N,,,0,,,
28/07/2023 14:51:28,223,0,0,0,0,N,,,0,,,
28/07/2023 14:51:59,224,0,0,0,0,N,,,0,,,
28/07/2023 14:53:55,225,0,0,0,0,N,,,0,,,
28/07/2023 14:55:12,226,0,0,0,0,N,,,0,,,
28/07/2023 14:58:07,227,0,0,0,0,N,,,0,,,
28/07/2023 15:01:27,228,0,0,0,0,N,,,0,,,
28/07/2023 15:02:05,229,0,0,0,0,N,,,0,,,
28/07/2023 15:02:37,230,0,0,0,0,N,,,0,,,
28/07/2023 15:04:49,231,0,0,0,0,N,,,0,,,
28/07/2023 15:04:54,232,0,0,0,0,N,,,0,,,
28/07/2023 15:05:42,233,0,0,0,0,N,,,0,,,
28/07/2023 15:06:14,234,0,0,0,0,N,,,0,,,
28/07/2023 15:06:57,235,0,0,0,0,N,,,0,,,
28/07/2023 15:07:03,236,0,0,0,0,N,,,0,,,
28/07/2023 15:07:49,237,0,0,0,0,N,,,0,,,
28/07/2023 15:07:53,238,0,0,0,0,N,,,0,,,
28/07/2023 15:09:26,239,0,0,0,0,N,,,0,,,
28/07/2023 15:10:16,240,0,0,0,0,N,,,0,,,
28/07/2023 15:10:20,241,0,0,0,0,N,,,0,,,
28/07/2023 15:10:26,242,0,0,0,0,N,,,0,,,
28/07/2023 15:21:32,243,0,0,0,0,N,,,0,,,
28/07/2023 15:21:36,244,0,0,0,0,N,,,0,,,
